split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
test,NLoS,without_41m_scale,Without the 41-pixel local scale,1.9421906616821685,0.013441041636701234,1.2231908759395076,1.7370444115023174,1.1145607215660924,391721805,3.632984660807338,2.5798742539086503,31365314
test,NLoS,single_41m_scale,Only 41-pixel morphology plus geometry,1.9323885605707618,0.003638940525294565,1.2187296359510091,1.7370444115023174,1.1145607215660924,391721805,3.5617801867634076,2.519696531029758,31365314
test,NLoS,lean_six_topology,Six-feature topology-routed model,1.9348416344339365,0.006092014388469291,1.2198968916581874,1.7370444115023174,1.1145607215660924,391721805,3.5796987281701105,2.535441658092296,31365314
test,NLoS,lean_four_full_routing,Four-feature model with nine regimes,1.935466563695555,0.006716943650087792,1.220422522181715,1.7370444115023174,1.1145607215660924,391721805,3.584252842536644,2.542531894901587,31365314
test,NLoS,lean_four_topology,Four-feature topology-routed model,1.9356737095800347,0.006924089534567468,1.2202649274210624,1.7370444115023174,1.1145607215660924,391721805,3.585761446902795,2.5404060971731144,31365314
test,NLoS,distance_density_topology,"Distance and density only, topology-routed",1.9382811881045707,0.00953156805910349,1.2212373312794764,1.7370444115023174,1.1145607215660924,391721805,3.6047109593323743,2.553522865172341,31365314
test,NLoS,distance_visibility_topology,"Distance and local visibility only, topology-routed",1.940755351653291,0.0120057316078237,1.2200327576333685,1.7370444115023174,1.1145607215660924,391721805,3.6226233805240864,2.5372743559575075,31365314
test,NLoS,distance_only_full_routing,Distance only with nine regimes,1.9524314727050838,0.02368185265961653,1.2245331587173582,1.7370444115023174,1.1145607215660924,391721805,3.706288511797994,2.597980323350969,31365314
test,NLoS,distance_only_topology,"Distance only, topology-routed",1.9575559629669859,0.028806342921518624,1.2239801414653952,1.7370444115023174,1.1145607215660924,391721805,3.7425726088979947,2.590520666613903,31365314
test,NLoS,cost231_only_full_routing,Calibrated COST231 only with nine regimes,1.9542746895558551,0.02552506951038791,1.227028619178095,1.7370444115023174,1.1145607215660924,391721805,3.719369254818096,2.6316416212073057,31365314
test,NLoS,cost231_only_topology,"Calibrated COST231 only, topology-routed",1.9574005927697575,0.02865097272429029,1.2339619888490518,1.7370444115023174,1.1145607215660924,391721805,3.741476286690168,2.725165932777952,31365314
test,NLoS,constant_full_routing,Constant prediction in each of nine regimes,2.081384929466199,0.15263530942073178,1.2840076953440016,1.7370444115023174,1.1145607215660924,391721805,4.55556976700374,3.4002331034515136,31365314
test,NLoS,constant_topology,Constant prediction per topology,2.0787120428167607,0.14996242277129346,1.2826228920332643,1.7370444115023174,1.1145607215660924,391721805,4.539077578269348,3.381553474000918,31365314
test,NLoS,constant_global,Single global NLoS constant,2.0789143957858918,0.15016477574042453,1.2829635068160383,1.7370444115023174,1.1145607215660924,391721805,4.540327485609475,3.3861480311328096,31365314
test,LoS,without_radial,Without radial residual,1.9332321775924248,0.0044825575469575885,1.22948848201738,1.7424181432807355,1.1280357495326,391721805,3.5350744505050007,2.496532946839893,31365314
test,LoS,without_coherent,Without coherent two-ray term,3.7292385336984464,1.8004889136529791,2.932852463448554,3.7443499842355665,2.9677887331891646,391721805,3.5350744505050007,2.496532946839893,31365314
test,LoS,fspl_bias_only,FSPL plus height-binned bias only,3.960323110023084,2.0315734899776166,3.158628867724728,3.992414819196515,3.2116431400771996,391721805,3.5350744505050007,2.496532946839893,31365314
