split,family,variant,label,overall_rmse_db,delta_overall_rmse_db,overall_mae_db,los_rmse_db,los_mae_db,los_pixels,nlos_rmse_db,nlos_mae_db,nlos_pixels
validation,NLoS,topology_only_routing,Without transmitter-height routing,1.8883902957084693,0.001447377320634713,1.2018617277244927,1.7388435440665015,1.1235884664395341,382752235,3.1992310519776637,2.1641952348096485,31131895
validation,NLoS,height_only_routing,Without topology routing,1.8891476563472793,0.002204737959444758,1.202942230762843,1.7388435440665015,1.1235884664395341,382752235,3.2051699554511655,2.178560022433082,31131895
validation,NLoS,global_routing,Without topology and height routing,1.8907754938644294,0.0038325754765948794,1.203679864869181,1.7388435440665015,1.1235884664395341,382752235,3.2179056960182826,2.1883665263532572,31131895
validation,NLoS,without_15m_scale,Without the 15-pixel local scale,1.8878631117828815,0.0009201933950468977,1.2017610014397315,1.7388435440665015,1.1235884664395341,382752235,3.195091989958748,2.1628561254898817,31131895
validation,NLoS,without_41m_scale,Without the 41-pixel local scale,1.9040891512685718,0.017146232880737244,1.2131843851484168,1.7388435440665015,1.1235884664395341,382752235,3.3206330688563996,2.3147247228857464,31131895
validation,NLoS,single_41m_scale,Only 41-pixel morphology plus geometry,1.8908717603662186,0.003928841978384057,1.2033809965731563,1.7388435440665015,1.1235884664395341,382752235,3.2186576224954675,2.1843932107332233,31131895
validation,NLoS,lean_six_topology,Six-feature topology-routed model,1.8976993650291634,0.010756446641328798,1.2078576659182445,1.7388435440665015,1.1235884664395341,382752235,3.2716425379954015,2.2439084569843577,31131895
validation,NLoS,lean_four_full_routing,Four-feature model with nine regimes,1.8951179652525938,0.008175046864759228,1.206363732110669,1.7388435440665015,1.1235884664395341,382752235,3.2516889516938248,2.2240472987019633,31131895
validation,NLoS,lean_four_topology,Four-feature topology-routed model,1.8983738657049156,0.011430947317081053,1.2083180801490963,1.7388435440665015,1.1235884664395341,382752235,3.2768406959026337,2.2500294510123697,31131895
validation,NLoS,distance_density_topology,"Distance and density only, topology-routed",1.9006412647715198,0.013698346383685278,1.2090400264412378,1.7388435440665015,1.1235884664395341,382752235,3.2942681338030138,2.259627392706242,31131895
